epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7801.4,0.96102,1.34522,1.3647,0.66017,0.42214,0.4167,0.26832,1.44483,1.7679,1.73628,0.000315707,0.000315707,0.000315707
71,7911.57,0.96776,1.36089,1.37436,0.65606,0.41731,0.41401,0.26663,1.45284,1.81767,1.75009,0.00030821,0.00030821,0.00030821
72,8022.37,0.95899,1.34929,1.36361,0.65612,0.41175,0.41049,0.26452,1.44059,1.77543,1.74398,0.000300713,0.000300713,0.000300713
73,8133.15,0.95925,1.33763,1.36402,0.65371,0.42552,0.41613,0.26806,1.45386,1.8078,1.7467,0.000293216,0.000293216,0.000293216
74,8243.94,0.94638,1.3115,1.35357,0.64692,0.41598,0.41328,0.26576,1.45711,1.79378,1.75531,0.000285719,0.000285719,0.000285719
75,8354.51,0.93959,1.28514,1.34672,0.63751,0.41463,0.40712,0.2622,1.46602,1.79467,1.76011,0.000278222,0.000278222,0.000278222
76,8465.58,0.92972,1.28124,1.33588,0.65329,0.40547,0.40809,0.26432,1.46982,1.80622,1.77347,0.000270725,0.000270725,0.000270725
77,8576.29,0.9179,1.25881,1.33346,0.64137,0.40674,0.4053,0.26457,1.46492,1.80587,1.76983,0.000263228,0.000263228,0.000263228
78,8686.81,0.90901,1.26751,1.33173,0.66613,0.41786,0.41185,0.26795,1.44327,1.78548,1.74823,0.000255731,0.000255731,0.000255731
79,8796.82,0.89956,1.22012,1.31484,0.65993,0.41705,0.41323,0.26923,1.45741,1.80114,1.77561,0.000248234,0.000248234,0.000248234
80,8907.23,0.8813,1.19344,1.30189,0.64592,0.41066,0.40496,0.26292,1.46642,1.79858,1.75882,0.000240737,0.000240737,0.000240737
81,9017.8,0.87527,1.17559,1.2969,0.63944,0.41819,0.40726,0.26632,1.46181,1.82277,1.76771,0.00023324,0.00023324,0.00023324
82,9128.29,0.89007,1.20811,1.30877,0.65731,0.41584,0.41267,0.27073,1.44929,1.79965,1.75479,0.000225743,0.000225743,0.000225743
83,9239.2,0.86574,1.16371,1.28899,0.66829,0.41083,0.41229,0.27022,1.44821,1.79466,1.75224,0.000218246,0.000218246,0.000218246
84,9353.22,0.87318,1.17302,1.29929,0.64561,0.41428,0.40898,0.2679,1.45316,1.80886,1.76795,0.000210749,0.000210749,0.000210749
85,9464.74,0.85332,1.15745,1.28477,0.65337,0.4188,0.4121,0.27052,1.45974,1.81188,1.77018,0.000203252,0.000203252,0.000203252
86,9575.64,0.85773,1.14504,1.28405,0.66008,0.41583,0.41147,0.27046,1.46095,1.82015,1.77046,0.000195755,0.000195755,0.000195755
87,9685.89,0.85535,1.13991,1.28227,0.667,0.40755,0.40367,0.26652,1.4638,1.83177,1.76729,0.000188258,0.000188258,0.000188258
88,9795.77,0.83799,1.12603,1.27368,0.66221,0.4151,0.41179,0.27192,1.46091,1.81891,1.77455,0.000180761,0.000180761,0.000180761
89,9905.44,0.83609,1.11332,1.26751,0.65764,0.42255,0.4146,0.27381,1.44988,1.80908,1.77624,0.000173264,0.000173264,0.000173264
90,10016.6,0.83914,1.1074,1.26963,0.66205,0.41403,0.40847,0.2711,1.45386,1.82509,1.77642,0.000165767,0.000165767,0.000165767
91,10174.6,0.86403,1.07453,1.32376,0.65514,0.41232,0.40499,0.26646,1.46513,1.83278,1.78137,0.00015827,0.00015827,0.00015827
92,10283.8,0.84044,1.0056,1.30042,0.65368,0.41737,0.40856,0.26838,1.45872,1.82843,1.77784,0.000150773,0.000150773,0.000150773
93,10393.6,0.83722,0.98744,1.29369,0.65377,0.41253,0.40336,0.26611,1.46915,1.83713,1.78156,0.000143276,0.000143276,0.000143276
94,10503.4,0.81163,0.95018,1.27084,0.64531,0.4183,0.40483,0.26747,1.46137,1.85497,1.78816,0.000135779,0.000135779,0.000135779
95,10613.1,0.79725,0.9302,1.26116,0.65195,0.40369,0.39498,0.26163,1.47908,1.88961,1.79458,0.000128282,0.000128282,0.000128282
96,10723.7,0.78579,0.91489,1.25857,0.6601,0.40045,0.39872,0.264,1.46563,1.86672,1.79239,0.000120785,0.000120785,0.000120785
97,10834.2,0.77298,0.8885,1.2403,0.66308,0.40088,0.39757,0.26308,1.46032,1.8659,1.78801,0.000113288,0.000113288,0.000113288
98,10943.9,0.78168,0.90301,1.2493,0.66628,0.39955,0.39913,0.26372,1.46258,1.88039,1.79529,0.000105791,0.000105791,0.000105791
99,11053.5,0.76165,0.86683,1.22854,0.66561,0.40298,0.40009,0.26507,1.46834,1.88523,1.80318,9.8294e-05,9.8294e-05,9.8294e-05
100,11163.4,0.74964,0.84173,1.21879,0.64248,0.40688,0.39391,0.26195,1.47135,1.91468,1.80477,9.0797e-05,9.0797e-05,9.0797e-05
