timestamp,violation,confidence,severity,frame,location,person_id,metadata
2025-10-08 04:26:05,NO-Mask,0.7488065958023071,Low,22,"(32.53343200683594,0.0,305.53094482421875,256.1642150878906)",1,None
2025-10-08 04:26:06,Person,1.0,None,23,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:06,NO-Safety Vest,0.9268708229064941,Medium,23,"(0.0,0.0,280.000732421875,381.85321044921875)",1,None
2025-10-08 04:26:06,NO-Hardhat,0.7288715839385986,High,23,"(0.0,0.0,264.32696533203125,139.9896240234375)",1,None
2025-10-08 04:26:07,Person,1.0,None,24,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:07,NO-Safety Vest,0.9284222722053528,Medium,24,"(0.0,0.0,293.9844970703125,378.72283935546875)",1,None
2025-10-08 04:26:07,NO-Hardhat,0.8084284067153931,High,24,"(0.0,0.0,263.45489501953125,132.78167724609375)",1,None
2025-10-08 04:26:08,Person,1.0,None,25,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:08,NO-Mask,0.8218467235565186,Low,25,"(131.18258666992188,46.8564453125,504.9971618652344,346.63446044921875)",1,None
2025-10-08 04:26:09,Person,1.0,None,26,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:09,NO-Mask,0.9066674113273621,Low,26,"(76.97836303710938,0.0,471.1244201660156,219.23480224609375)",1,None
2025-10-08 04:26:09,NO-Hardhat,0.9066153168678284,High,26,"(75.21260070800781,0.0,494.4471435546875,102.15109252929688)",1,None
2025-10-08 04:26:09,NO-Safety Vest,0.8221791982650757,Medium,26,"(0.0,38.828704833984375,183.58551025390625,450.31689453125)",1,None
2025-10-08 04:26:09,NO-Mask,0.8094419836997986,Low,26,"(35.43742370605469,55.70477294921875,191.46629333496094,371.83197021484375)",1,None
2025-10-08 04:26:09,NO-Safety Vest,0.7726094722747803,Medium,26,"(6.3023223876953125,0.0,461.36370849609375,377.6590576171875)",1,None
2025-10-08 04:26:10,Person,1.0,None,27,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:10,NO-Hardhat,0.9115405082702637,High,27,"(69.22111511230469,0.0,476.24847412109375,103.96754455566406)",1,None
2025-10-08 04:26:10,NO-Safety Vest,0.8975066542625427,Medium,27,"(0.0,0.0,412.7970275878906,377.5660095214844)",1,None
2025-10-08 04:26:10,NO-Mask,0.862314760684967,Low,27,"(80.69830322265625,0.0,479.32843017578125,235.26171875)",1,None
2025-10-08 04:26:11,Person,1.0,None,28,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:11,NO-Mask,0.9238405823707581,Low,28,"(78.98243713378906,0.0,458.82275390625,238.37628173828125)",1,None
2025-10-08 04:26:11,NO-Safety Vest,0.9074406623840332,Medium,28,"(0.0,0.0,395.37542724609375,384.0888366699219)",1,None
2025-10-08 04:26:11,NO-Hardhat,0.9022992253303528,High,28,"(60.622467041015625,0.0,454.4327087402344,103.72341918945312)",1,None
2025-10-08 04:26:12,Person,1.0,None,29,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:12,NO-Hardhat,0.9193771481513977,High,29,"(63.27679443359375,0.0,461.96002197265625,99.67384338378906)",1,None
2025-10-08 04:26:12,NO-Mask,0.9045044183731079,Low,29,"(80.38557434082031,0.0,465.663818359375,239.306884765625)",1,None
2025-10-08 04:26:12,NO-Safety Vest,0.7292091250419617,Medium,29,"(0.0,0.0,413.5673828125,382.12884521484375)",1,None
2025-10-08 04:26:13,Person,1.0,None,30,"(0,0,0,0)",0,{'total_persons': 1}
